distance,Decision
0.2555,Yes
0.2364,Yes
0.318,Yes
0.2974,Yes
0.3117,Yes
0.3812,Yes
0.3577,Yes
0.1073,Yes
0.1753,Yes
0.1109,Yes
0.1727,Yes
0.2014,Yes
0.195,Yes
0.1888,Yes
0.1734,Yes
0.2375,Yes
0.1903,Yes
0.2147,Yes
0.1822,Yes
0.2503,Yes
0.2188,Yes
0.3052,Yes
0.1661,Yes
0.234,Yes
0.2556,Yes
0.3147,Yes
0.3407,Yes
0.2374,Yes
0.289,Yes
0.2811,Yes
0.0921,Yes
0.1653,Yes
0.1844,Yes
0.2317,Yes
0.4654,Yes
0.0822,Yes
0.2294,Yes
0.0811,Yes
0.604,No
0.6028,No
0.5545,No
0.6539,No
0.5631,No
0.626,No
0.5869,No
0.616,No
0.5433,No
0.5874,No
0.4532,No
0.5385,No
0.4957,No
0.4947,No
0.5154,No
0.6654,No
0.632,No
0.655,No
0.6966,No
0.7159,No
0.6826,No
0.7045,No
0.7144,No
0.7195,No
0.6584,No
0.7056,No
0.5972,No
0.6127,No
0.6836,No
0.679,No
0.709,No
0.7128,No
0.6275,No
0.6436,No
0.6558,No
0.663,No
0.6763,No
0.7315,No
0.6728,No
0.7052,No
0.7059,No
0.6886,No
0.687,No
0.7571,No
0.6658,No
0.687,No
0.7016,No
0.7102,No
0.7152,No
0.7559,No
0.6261,No
0.6595,No
0.7063,No
0.69,No
0.6962,No
0.732,No
0.6979,No
0.6761,No
0.7323,No
0.7435,No
0.7045,No
0.7221,No
0.7571,No
0.7427,No
0.7691,No
0.7606,No
0.7454,No
0.7513,No
0.7293,No
0.7072,No
0.7261,No
0.7532,No
0.7136,No
0.6221,No
0.7938,No
0.6898,No
0.7657,No
0.6171,No
0.7683,No
0.6904,No
0.7914,No
0.6743,No
0.8744,No
0.7078,No
0.7413,No
0.6003,No
0.6787,No
0.6185,No
0.598,No
0.6187,No
0.6748,No
0.7185,No
0.6765,No
0.694,No
0.6998,No
0.715,No
0.6796,No
0.714,No
0.766,No
0.812,No
0.6494,No
0.6671,No
0.6641,No
0.6831,No
0.489,No
0.523,No
0.5174,No
0.56,No
0.4697,No
0.5328,No
0.5803,No
0.6527,No
0.4709,No
0.5157,No
0.3547,No
0.4304,No
0.5154,No
0.556,No
0.5284,No
0.5231,No
0.627,No
0.6349,No
0.7828,No
0.7864,No
0.7507,No
0.7667,No
0.8285,No
0.8236,No
0.7898,No
0.8132,No
0.8125,No
0.8388,No
0.7298,No
0.7372,No
0.7624,No
0.8107,No
0.5174,No
0.53,No
0.5433,No
0.5529,No
0.6896,No
0.6885,No
0.689,No
0.6824,No
0.711,No
0.6846,No
0.8153,No
0.7574,No
0.7965,No
0.7172,No
0.8749,No
0.7128,No
0.852,No
0.7355,No
0.6788,No
0.7262,No
0.7172,No
0.7582,No
0.4275,No
0.4818,No
0.422,No
0.4952,No
0.7791,No
0.8269,No
0.7178,No
0.7307,No
0.691,No
0.681,No
0.6224,No
0.5786,No
0.552,No
0.5221,No
0.7789,No
0.783,No
0.7415,No
0.6824,No
0.8242,No
0.7854,No
0.7483,No
0.7333,No
0.6922,No
0.6462,No
0.6546,No
0.6436,No
0.4385,No
0.4783,No
0.4271,No
0.5013,No
0.7539,No
0.7979,No
0.7049,No
0.7293,No
0.5289,No
0.4685,No
0.5439,No
0.4987,No
0.5767,No
0.5346,No
0.6236,No
0.456,No
0.6819,No
0.5023,No
0.6509,No
0.5115,No
0.3524,No
0.3843,No
0.3565,No
0.3875,No
0.374,No
0.361,No
0.6773,No
0.6444,No
0.6823,No
0.6646,No
0.6174,No
0.5891,No
0.4605,No
0.4688,No
0.475,No
0.4713,No
0.4727,No
0.4927,No
0.6906,No
0.4999,No
0.5537,No
0.4804,No
0.5624,No
0.5772,No
0.4491,No
0.4974,No
0.6959,No
0.7114,No
0.7019,No
0.7083,No
0.5837,No
0.5929,No
0.4862,No
0.4697,No
0.5101,No
0.482,No
0.3836,No
0.4316,No
0.8258,No
0.8067,No
0.6425,No
0.5947,No
0.6734,No
0.6984,No
0.5323,No
0.5881,No
0.687,No
0.6198,No
0.6783,No
0.6206,No
0.5483,No
0.5416,No
0.5602,No
0.5362,No
0.7642,No
0.7819,No
0.6631,No
0.7025,No
